x,series,value
0.532,g(x),0.995904
0.532,f(x)-g(x),-0.46659
0.534,f(x),0.530957
0.534,g(x),0.995376
0.534,f(x)-g(x),-0.464419
0.536,f(x),0.532576
0.536,g(x),0.994816
0.536,f(x)-g(x),-0.46224
0.538,f(x),0.534171
0.538,g(x),0.994224
0.538,f(x)-g(x),-0.460053
0.54,f(x),0.535742
0.54,g(x),0.9936
0.54,f(x)-g(x),-0.457858
0.542,f(x),0.537289
0.542,g(x),0.992944
0.542,f(x)-g(x),-0.455655
0.544,f(x),0.538811
0.544,g(x),0.992256
0.544,f(x)-g(x),-0.453445
0.546,f(x),0.540309
0.546,g(x),0.991536
0.546,f(x)-g(x),-0.451227
0.548,f(x),0.541781
0.548,g(x),0.990784
0.548,f(x)-g(x),-0.449003
0.55,f(x),0.543229
0.55,g(x),0.99
0.55,f(x)-g(x),-0.446771
0.552,f(x),0.544651
0.552,g(x),0.989184
0.552,f(x)-g(x),-0.444533
0.554,f(x),0.546047
0.554,g(x),0.988336
0.554,f(x)-g(x),-0.442289
0.556,f(x),0.547418
0.556,g(x),0.987456
0.556,f(x)-g(x),-0.440038
0.558,f(x),0.548762
0.558,g(x),0.986544
0.558,f(x)-g(x),-0.437782
0.56,f(x),0.550081
0.56,g(x),0.9856
0.56,f(x)-g(x),-0.435519
0.562,f(x),0.551373
0.562,g(x),0.984624
0.562,f(x)-g(x),-0.433251
0.564,f(x),0.552638
0.564,g(x),0.983616
0.564,f(x)-g(x),-0.430978
0.566,f(x),0.553877
0.566,g(x),0.982576
0.566,f(x)-g(x),-0.428699
0.568,f(x),0.555088
0.568,g(x),0.981504
0.568,f(x)-g(x),-0.426416
0.57,f(x),0.556273
0.57,g(x),0.9804
0.57,f(x)-g(x),-0.424127
0.572,f(x),0.557429
0.572,g(x),0.979264
0.572,f(x)-g(x),-0.421835
0.574,f(x),0.558559
0.574,g(x),0.978096
0.574,f(x)-g(x),-0.419537
0.576,f(x),0.55966
0.576,g(x),0.976896
0.576,f(x)-g(x),-0.417236
0.578,f(x),0.560733
0.578,g(x),0.975664
0.578,f(x)-g(x),-0.414931
0.58,f(x),0.561778
0.58,g(x),0.9744
0.58,f(x)-g(x),-0.412622
0.582,f(x),0.562795
0.582,g(x),0.973104
0.582,f(x)-g(x),-0.410309
0.584,f(x),0.563783
0.584,g(x),0.971776
0.584,f(x)-g(x),-0.407993
0.586,f(x),0.564742
0.586,g(x),0.970416
0.586,f(x)-g(x),-0.405674
0.588,f(x),0.565672
0.588,g(x),0.969024
0.588,f(x)-g(x),-0.403352
0.59,f(x),0.566573
0.59,g(x),0.9676
0.59,f(x)-g(x),-0.401027
0.592,f(x),0.567445
0.592,g(x),0.966144
0.592,f(x)-g(x),-0.398699
0.594,f(x),0.568287
0.594,g(x),0.964656
0.594,f(x)-g(x),-0.396369
0.596,f(x),0.569099
0.596,g(x),0.963136
0.596,f(x)-g(x),-0.394037
0.598,f(x),0.569882
0.598,g(x),0.961584
0.598,f(x)-g(x),-0.391702
0.6,f(x),0.570634
0.6,g(x),0.96
0.6,f(x)-g(x),-0.389366
0.602,f(x),0.571356
0.602,g(x),0.958384
0.602,f(x)-g(x),-0.387028
0.604,f(x),0.572047
0.604,g(x),0.956736
0.604,f(x)-g(x),-0.384689
0.606,f(x),0.572708
0.606,g(x),0.955056
0.606,f(x)-g(x),-0.382348
0.608,f(x),0.573338
0.608,g(x),0.953344
0.608,f(x)-g(x),-0.380006
0.61,f(x),0.573937
0.61,g(x),0.9516
0.61,f(x)-g(x),-0.377663
0.612,f(x),0.574505
0.612,g(x),0.949824
0.612,f(x)-g(x),-0.375319
0.614,f(x),0.575042
0.614,g(x),0.948016
0.614,f(x)-g(x),-0.372974
0.616,f(x),0.575547
0.616,g(x),0.946176
